Prueba ,Efic,Presión,F(GPM),% SólidosA,% Agua A  ,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Solidos t/h - O,Agua t/h -O,Solidos t/h - U,Agua t/h - U,D50c  ,Alfa  ,Vi (m/s),Vθt (m/s),Do/Dc  ,Du/Dc,Di/Dc ,Lc/Dc ,Dc ^2 ,pp (ton/m3) ,ps (ton/m3)  ,fv ,Vh/Vt,um(Kg/m.s)  ,Re  ,1/Tan(teta)  ,Cos(i/2)  ,(ps-pf)/pf ,(ps-pp)/ps,raiz(P/pp) ,1/tan(teta/2)),(Vt^2)/gRmax ,Cos (i/180) ,um/uw  
2,33.10,3,17.37,28.4,71.6,3.94,4.73,1.34,3.39,0.83,3.07,0.51,0.32,149.77,3.335498517,0.54,1.11,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,45389.29633,5.14,0.71,1.17,0.54,1.33,10.39, 2.463 ,1,1.444
3,37.85,3,18.14,20.8,79.2,4.11,4.73,0.98,3.75,0.62,3.54,0.36,0.21,117.42,3.335498517,0.56,1.16,0.3595,0.11,0.5,4.5625,0.01032256,1.15,2.6,0.09,0.56,1.29E-03,51134.56994,5.14,0.71,1.26,0.56,1.35,10.39, 2.681 ,1,1.282
12,54.72,3,17.21,25.76,74.24,3.9,4.64,1.2,3.44,0.6,3.09,0.6,0.35,102.21,3.335498517,0.53,1.10,0.3595,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.47,1.40E-03,46296.49177,5.14,0.71,1.19,0.54,1.33,10.39, 2.414 ,1,1.389
14,68.17,3,21.58,5.8,94.2,4.89,5.04,0.29,4.75,0.08,4.48,0.21,0.27,56.83,3.335498517,0.67,1.38,0.3595,0.11,0.5,4.5625,0.01032256,1.03,2.6,0.02,0.87,1.07E-03,65887.83241,5.14,0.71,1.52,0.60,1.43,10.39, 3.795 ,1,1.060
20,44.29,3,17.23,30,70,3.91,4.77,1.43,3.34,0.82,3.01,0.61,0.33,131.05,3.335498517,0.54,1.10,0.3595,0.11,0.5,4.5625,0.01032256,1.22,2.6,0.14,0.41,1.50E-03,44351.55052,5.14,0.71,1.13,0.53,1.31,10.39, 2.426 ,1,1.490
1,34.28,3.5,18.29,27.47,72.53,4.15,4.98,1.37,3.61,0.82,3.27,0.53,0.36,147.65,3.335498517,0.57,1.17,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,48370.82912,5.14,0.71,1.17,0.54,1.43,10.39, 2.733 ,1,1.426
9,50.39,3.5,19.07,25.5,74.5,4.33,5.15,1.31,3.84,0.74,3.5,0.57,0.34,116.08,3.335498517,0.59,1.22,0.3595,0.11,0.5,4.5625,0.01032256,1.19,2.6,0.12,0.48,1.39E-03,51700.05414,5.14,0.71,1.19,0.54,1.44,10.39, 2.975 ,1,1.380
11,47.22,3.5,18.25,28.1,71.9,4.14,4.97,1.4,3.57,0.82,3.26,0.58,0.31,134.11,3.335498517,0.57,1.17,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.44,1.45E-03,47804.9893,5.14,0.71,1.17,0.54,1.43,10.39, 2.720 ,1,1.440
15,80.80,3.5,20.95,15.4,84.6,4.75,5.23,0.81,4.42,0.07,3.98,0.73,0.45,28.4,3.335498517,0.65,1.34,0.3595,0.11,0.5,4.5625,0.01032256,1.10,2.6,0.07,0.66,1.20E-03,60931.67514,5.14,0.71,1.36,0.58,1.49,10.39, 3.580 ,1,1.189
19,41.54,3.5,17.71,33.5,66.5,4.02,5.11,1.71,3.4,1.06,3.03,0.65,0.37,218.11,3.335498517,0.55,1.13,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.16,0.35,1.62E-03,44035.09016,5.14,0.71,1.05,0.51,1.39,10.39, 2.565 ,1,1.608
6,86.73,4,25.37,8.9,91.1,5.75,6.04,0.54,5.5,0.09,5.18,0.45,0.32,30,3.335498517,0.79,1.62,0.3595,0.11,0.5,4.5625,0.01032256,1.05,2.6,0.04,0.80,1.10E-03,76249.63342,5.14,0.71,1.48,0.60,1.64,10.39, 5.247 ,1,1.098
10,60.46,4,19.8,27.4,72.6,4.49,5.39,1.48,3.91,0.6,3.41,0.88,0.5,88.4,3.335498517,0.62,1.27,0.3595,0.11,0.5,4.5625,0.01032256,1.20,2.6,0.13,0.45,1.43E-03,52384.76466,5.14,0.71,1.17,0.54,1.53,10.39, 3.199 ,1,1.426
13,75.57,4,20.9,22.1,77.9,4.74,5.5,1.22,4.28,0.25,3.68,0.97,0.6,30,3.335498517,0.65,1.34,0.3595,0.11,0.5,4.5625,0.01032256,1.16,2.6,0.10,0.54,1.32E-03,58192.74364,5.14,0.71,1.24,0.55,1.56,10.39, 3.565 ,1,1.309
21,46.07,4,19.33,28.6,71.4,4.38,5.34,1.53,3.81,0.86,3.42,0.67,0.39,153.89,3.335498517,0.60,1.23,0.3595,0.11,0.5,4.5625,0.01032256,1.22,2.6,0.13,0.43,1.47E-03,50668.67172,5.14,0.71,1.13,0.53,1.52,10.39, 3.044 ,1,1.460
8,34.20,5,19.95,34.1,65.9,4.52,5.74,1.96,3.78,1.28,3.42,0.68,0.36,203.57,3.335498517,0.62,1.27,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.35,1.63E-03,48931.7185,5.14,0.71,1.05,0.51,1.66,10.39, 3.242 ,1,1.625
18,31.96,5,20.51,33.8,66.2,4.65,5.91,2,3.91,1.3,3.47,0.7,0.44,200.09,3.335498517,0.64,1.31,0.3595,0.11,0.5,4.5625,0.01032256,1.27,2.6,0.17,0.35,1.63E-03,50614.42942,5.14,0.71,1.05,0.51,1.66,10.39, 3.431 ,1,1.618
24,29.42,5,20.63,31.4,68.6,4.68,5.76,1.81,3.95,1.22,3.68,0.59,0.27,30,3.335498517,0.64,1.32,0.3595,0.11,0.5,4.5625,0.01032256,1.23,2.6,0.15,0.39,1.54E-03,52162.76784,5.14,0.71,1.11,0.53,1.69,10.39, 3.476 ,1,1.530
