Prueba,Efic,Presión,F(GPM),% SólidosA,% Agua A,Q m3/H,F (t/h),Solidos t/h A,Agua t/h A,Vi (m/s),Do/Dc,Du/Dc,pp (ton/m3),ps (ton/m3),fv,Vh/Vt,um(Kg/m.s),Re,(ps-pf)/pf,(ps-pp)/ps,raiz(P/pp),1/tan(teta/2)),um/uw
2,33.1,3,17.37,28.4,71.6,3.94,4.73,1.34,3.39,0.54,0.3595,0.11,1.2,2.6,0.13,0.44,0.00145,45389.29633,1.17,0.54,1.33,10.39,1.444
3,37.85,3,18.14,20.8,79.2,4.11,4.73,0.98,3.75,0.56,0.3595,0.11,1.15,2.6,0.09,0.56,0.00129,51134.56994,1.26,0.56,1.35,10.39,1.282
12,54.72,3,17.21,25.76,74.24,3.9,4.64,1.2,3.44,0.53,0.3595,0.11,1.19,2.6,0.12,0.47,0.0014,46296.49177,1.19,0.54,1.33,10.39,1.389
14,68.17,3,21.58,5.8,94.2,4.89,5.04,0.29,4.75,0.67,0.3595,0.11,1.03,2.6,0.02,0.87,0.00107,65887.83241,1.52,0.6,1.43,10.39,1.06
20,44.29,3,17.23,30,70,3.91,4.77,1.43,3.34,0.54,0.3595,0.11,1.22,2.6,0.14,0.41,0.0015,44351.55052,1.13,0.53,1.31,10.39,1.49
1,34.28,3.5,18.29,27.47,72.53,4.15,4.98,1.37,3.61,0.57,0.3595,0.11,1.2,2.6,0.13,0.45,0.00143,48370.82912,1.17,0.54,1.43,10.39,1.426
9,50.39,3.5,19.07,25.5,74.5,4.33,5.15,1.31,3.84,0.59,0.3595,0.11,1.19,2.6,0.12,0.48,0.00139,51700.05414,1.19,0.54,1.44,10.39,1.38
11,47.22,3.5,18.25,28.1,71.9,4.14,4.97,1.4,3.57,0.57,0.3595,0.11,1.2,2.6,0.13,0.44,0.00145,47804.9893,1.17,0.54,1.43,10.39,1.44
15,80.8,3.5,20.95,15.4,84.6,4.75,5.23,0.81,4.42,0.65,0.3595,0.11,1.1,2.6,0.07,0.66,0.0012,60931.67514,1.36,0.58,1.49,10.39,1.189
19,41.54,3.5,17.71,33.5,66.5,4.02,5.11,1.71,3.4,0.55,0.3595,0.11,1.27,2.6,0.16,0.35,0.00162,44035.09016,1.05,0.51,1.39,10.39,1.608
6,86.73,4,25.37,8.9,91.1,5.75,6.04,0.54,5.5,0.79,0.3595,0.11,1.05,2.6,0.04,0.8,0.0011,76249.63342,1.48,0.6,1.64,10.39,1.098
10,60.46,4,19.8,27.4,72.6,4.49,5.39,1.48,3.91,0.62,0.3595,0.11,1.2,2.6,0.13,0.45,0.00143,52384.76466,1.17,0.54,1.53,10.39,1.426
13,75.57,4,20.9,22.1,77.9,4.74,5.5,1.22,4.28,0.65,0.3595,0.11,1.16,2.6,0.1,0.54,0.00132,58192.74364,1.24,0.55,1.56,10.39,1.309
21,46.07,4,19.33,28.6,71.4,4.38,5.34,1.53,3.81,0.6,0.3595,0.11,1.22,2.6,0.13,0.43,0.00147,50668.67172,1.13,0.53,1.52,10.39,1.46
8,34.2,5,19.95,34.1,65.9,4.52,5.74,1.96,3.78,0.62,0.3595,0.11,1.27,2.6,0.17,0.35,0.00163,48931.7185,1.05,0.51,1.66,10.39,1.625
18,31.96,5,20.51,33.8,66.2,4.65,5.91,2,3.91,0.64,0.3595,0.11,1.27,2.6,0.17,0.35,0.00163,50614.42942,1.05,0.51,1.66,10.39,1.618
24,29.42,5,20.63,31.4,68.6,4.68,5.76,1.81,3.95,0.64,0.3595,0.11,1.23,2.6,0.15,0.39,0.00154,52162.76784,1.11,0.53,1.69,10.39,1.53
7,25.02,6,22.19,34.2,65.8,5.03,6.39,2.19,4.2,0.69,0.3595,0.11,1.27,2.6,0.17,0.34,0.00164,54346.75705,1.05,0.51,1.82,10.39,1.629
